CustCount,YrMon_AsOnDate,BRNCH_NME,STAT_NME,PROD_TYP_DESC,ProdGroup
8,Jan 2017,CBD BELAPUR,MAHARASHTRA,Savings Salary,SA
4,Feb 2017,CHEMBUR BRANCH,MAHARASHTRA,SA Staff,SA
18,Mar 2017,CHEMBUR BRANCH,MAHARASHTRA,SA Staff,SA
10,Apr 2017,CHEMBUR BRANCH,MAHARASHTRA,SA Staff,SA
9,Jun 2017,THANE BRANCH,MAHARASHTRA,SA Staff,SA
16,Jul 2017,THANE BRANCH,MAHARASHTRA,SA Staff,SA
4,Mar 2017,THANE BRANCH,MAHARASHTRA,SA Staff,SA
4,May 2017,THANE BRANCH,MAHARASHTRA,SA Staff,SA
1,Feb 2017,KOTHRUD PUNE BRANCH,MAHARASHTRA,SA Staff,SA
9,Jul 2017,CHINCHWAD  PUNE BRANCH,MAHARASHTRA,SA Staff,SA
9,Jun 2017,CHINCHWAD  PUNE BRANCH,MAHARASHTRA,SA Staff,SA
4,Aug 2017,Alandi,MAHARASHTRA,SA Staff,SA
5,Jul 2017,MHALUNGE BUS STOP  PUNE,MAHARASHTRA,SA Staff,SA
4,Jun 2017,MHALUNGE BUS STOP  PUNE,MAHARASHTRA,SA Staff,SA
9,Apr 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,TAMILNADU,SA Staff,SA
9,May 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,TAMILNADU,SA Staff,SA
2,May 2017,KAMRAJ NAGAR  PUDUCHERRY,PONDICHERRY,SA Staff,SA
2,Apr 2017,KAMRAJ NAGAR  PUDUCHERRY,PONDICHERRY,SA Staff,SA
4,May 2017,NAVRANGPURA  AHMEDABAD,GUJARAT,SA Staff,SA
9,Jun 2017,T. NAGAR  CHENNAI,TAMILNADU,SA Staff,SA
9,Jun 2017,NEW PALASIA,MADHYA PRADESH,SA Staff,SA
2,Sep 2017,SADASHIV PETH   PUNE,MAHARASHTRA,Savings Classic,SA
1,Aug 2017,SADASHIV PETH   PUNE,MAHARASHTRA,Savings Classic,SA
8,Jun 2017,PULLIYAKULAM ROAD   COIMBATORE,TAMILNADU,SA Staff,SA
3,Aug 2017,Wadachiwadi,MAHARASHTRA,SA Staff,SA
2,Oct 2017,NERUL BRANCH,MAHARASHTRA,SA Staff,SA
1,Apr 2017,KAMRAJ NAGAR  PUDUCHERRY,PONDICHERRY,Savings Supreme,SA
6,Mar 2017,CHEMBUR BRANCH,MAHARASHTRA,Savings Ujjwal,SA
1,Apr 2017,PULLIYAKULAM ROAD   COIMBATORE,TAMILNADU,Savings Ujjwal,SA
3,May 2017,PULLIYAKULAM ROAD   COIMBATORE,TAMILNADU,Savings Ujjwal,SA
3,Jul 2017,Alandi,MAHARASHTRA,Savings Ujjwal,SA
3,May 2017,NAVRANGPURA  AHMEDABAD,GUJARAT,Savings Aditya,SA
3,Apr 2017,T. NAGAR  CHENNAI,TAMILNADU,Savings Aditya,SA
1,Jul 2017,Varale,MAHARASHTRA,Savings Aditya,SA
2,Jul 2017,Alandi,MAHARASHTRA,Savings Aditya,SA
1,Jan 2017,CBD BELAPUR,MAHARASHTRA,Savings Aditya,SA
1,Oct 2017,TAMBARAM  CHENNAI,TAMILNADU,Savings Aditya,SA
1,Jul 2017,Wadachiwadi,MAHARASHTRA,Savings Aditya,SA
1,Apr 2017,CHEMBUR BRANCH,MAHARASHTRA,Savings Supreme,SA
1,Jul 2017,KAMRAJ NAGAR  PUDUCHERRY,PONDICHERRY,Savings Supreme,SA
2,Sep 2017,NAVRANGPURA  AHMEDABAD,GUJARAT,BSBDA,SA
1,Oct 2017,NAVRANGPURA  AHMEDABAD,GUJARAT,BSBDA,SA
1,Aug 2017,NAVRANGPURA  AHMEDABAD,GUJARAT,BSBDA,SA
1,Jul 2017,NAVRANGPURA  AHMEDABAD,GUJARAT,BSBDA,SA
2,Sep 2017,Wadachiwadi,MAHARASHTRA,BSBDA,SA
2,Oct 2017,Wadachiwadi,MAHARASHTRA,BSBDA,SA
1,Aug 2017,PULLIYAKULAM ROAD   COIMBATORE,TAMILNADU,Current Account - Aditya,CA
1,Jul 2017,PULLIYAKULAM ROAD   COIMBATORE,TAMILNADU,Current Account - Aditya,CA
6,Sep 2017,NEW PALASIA,MADHYA PRADESH,Current Account - Aditya,CA
3,Jun 2017,CBD BELAPUR,MAHARASHTRA,Current Account - Aditya,CA
1,Oct 2017,MHALUNGE BUS STOP  PUNE,MAHARASHTRA,Current Account - Ujjwal,CA
1,Aug 2017,MHALUNGE BUS STOP  PUNE,MAHARASHTRA,Current Account - Ujjwal,CA
1,May 2017,CBD BELAPUR,MAHARASHTRA,Current Account - Ujjwal,CA
1,Jul 2017,CBD BELAPUR,MAHARASHTRA,Current Account - Ujjwal,CA
1,Jun 2017,CBD BELAPUR,MAHARASHTRA,Current Account - Ujjwal,CA
1,Aug 2017,KAMRAJ NAGAR  PUDUCHERRY,PONDICHERRY,Current Account - Ujjwal,CA
3,Oct 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,TAMILNADU,Current Account - Ujjwal,CA
3,Aug 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,TAMILNADU,Current Account - Ujjwal,CA
3,Aug 2017,NAVRANGPURA  AHMEDABAD,GUJARAT,Current Account - Ujjwal,CA
1,Aug 2017,NAVRANGPURA  AHMEDABAD,GUJARAT,Current Account - Supreme,CA
2,Sep 2017,NAVRANGPURA  AHMEDABAD,GUJARAT,Current Account - Supreme,CA
1,Oct 2017,KAMRAJ NAGAR  PUDUCHERRY,PONDICHERRY,Current Account - Supreme,CA
1,Aug 2017,CENTRAL BACK OFFICE  BELAPUR,MAHARASHTRA,SSFB Payable Account,CA
