MonthNam,TotalAccounts,EOPBalance,AvgMTLBalnce
Mar 2017,1454,238325919.65869,219945160.32935
Nov 2017,8010,2899360783.6113,2899360783.6113
Jun 2017,3299,791047366.23821,787878155.77178
Jul 2017,4506,1185454757.6679,1196128689.3841
Sep 2017,7068,2631838121.404,2610946546.0601
Oct 2017,7975,2995826187.9201,2968014040.2816
Apr 2017,1522,311059982.33032,306889472.71887
Feb 2017,449,49970651.989258,48782386.08202
May 2017,2332,476247580.8424,464909101.37212
Aug 2017,5592,1658346640.6662,1634348555.8174
Jan 2017,105,4910350,6874640.6293945
